window	Freq	mean_discordant_reads_blacklist
1_10000_-	216	26
1_10000_+	9	1
1_100015000_+	2	2
1_100035000_+	2	1
1_100040000_-	2	1
1_100054000_+	1	1
1_100080000_+	2	1
1_100084000_+	1	1
1_100087000_-	2	1
1_100121000_-	1	1
1_100131000_-	1	1
1_100135000_-	1	1
1_100176000_+	1	1
1_100188000_+	2	1
1_100242000_+	1	1
1_100262000_+	1	1
1_100267000_+	2	1
1_100271000_-	1	1
1_100282000_+	1	1
1_100298000_-	2	1
1_100300000_+	1	1
1_100316000_-	2	1
1_100323000_+	1	1
1_100383000_-	2	1
1_100408000_-	1	1
1_100410000_+	1	1
1_100419000_-	1	1
1_100420000_-	2	1
1_10045000_-	2	1
1_100452000_-	1	1
1_100476000_-	1	1
1_10051000_+	1	1
1_100565000_+	1	1
1_100574000_-	1	1
1_100575000_-	1	1
1_100576000_-	1	1
1_100582000_+	2	1
1_100593000_-	1	1
1_100611000_+	2	1
1_100618000_-	1	1
1_100624000_-	1	1
1_10064000_+	1	1
1_100659000_+	2	1
1_100684000_-	2	1
1_100690000_-	2	1
1_100709000_+	2	1
1_100721000_-	1	1
1_10073000_-	1	1
1_100733000_+	1	1
1_100766000_-	1	1
1_100778000_-	1	1
1_100802000_+	1	1
1_100804000_+	2	1
1_100817000_+	2	1
1_100828000_+	1	1
1_100832000_-	1	1
1_100840000_+	1	1
1_100880000_+	2	1
1_100882000_-	1	1
1_100882000_+	1	1
1_100900000_+	2	1
1_100905000_-	1	1
1_100916000_+	2	1
1_10092000_-	2	1
1_100920000_+	1	1
1_100931000_+	1	1
1_100968000_+	1	1
1_100969000_-	2	1
1_100973000_-	2	1
1_101008000_+	2	1
1_101018000_+	1	1
1_101029000_-	1	1
1_101043000_-	1	1
1_101053000_-	2	1
1_101070000_-	1	1
1_10108000_+	1	1
1_101120000_+	1	1
1_101165000_+	1	1
1_101166000_+	1	1
1_101184000_-	1	1
1_101186000_+	1	1
1_101207000_-	2	1
1_10125000_-	2	1
1_101251000_-	2	1
1_101252000_+	2	1
1_101270000_-	1	1
1_101275000_-	2	1
1_101276000_+	1	1
1_101292000_-	1	1
1_101300000_-	1	1
1_101306000_-	2	1
1_101310000_-	2	1
1_101312000_-	2	1
1_101337000_+	1	1
1_10135000_+	1	1
1_101361000_+	2	1
1_101377000_+	1	1
1_10138000_+	1	1
1_101384000_-	2	1
1_10140000_-	3	1
1_101410000_+	1	1
1_101431000_-	2	1
1_101444000_-	2	1
1_101448000_+	2	1
1_101450000_-	2	1
1_101456000_+	2	1
1_101470000_+	1	1
1_101508000_+	1	1
1_101517000_+	1	1
1_10152000_-	1	1
1_101520000_-	2	1
1_101528000_+	1	1
1_101529000_-	1	1
1_10154000_-	1	1
1_101546000_+	1	1
1_101552000_-	1	1
1_101600000_+	1	2
1_101612000_+	2	1
1_101638000_-	1	1
1_101642000_+	1	1
1_101650000_+	2	1
1_101658000_-	1	1
1_10167000_-	1	1
1_101705000_+	1	2
1_101706000_+	1	1
1_101708000_-	2	1
1_101730000_-	1	1
1_101735000_-	2	1
1_101749000_-	1	1
1_101774000_-	2	1
1_101774000_+	1	1
1_101777000_+	2	1
1_101789000_+	1	1
1_101804000_+	1	1
1_101808000_-	1	1
1_101819000_-	1	1
1_101834000_+	1	1
1_101854000_+	2	1
1_101863000_-	1	1
1_101864000_-	1	1
1_101891000_+	1	1
1_1019000_+	2	1
1_101912000_-	1	1
1_101918000_+	1	1
1_10193000_-	1	1
1_101948000_-	1	1
1_101950000_+	2	1
1_101977000_+	1	1
1_102024000_-	2	1
1_102029000_-	2	1
1_102035000_-	2	1
1_102037000_+	1	1
1_102048000_-	1	1
1_102058000_-	1	1
1_102065000_+	2	1
1_102071000_-	2	1
1_102074000_+	1	1
1_10210000_-	2	1
1_10211000_-	1	1
1_102110000_+	1	1
1_102131000_-	1	1
1_102140000_+	2	1
1_102209000_+	1	1
1_10222000_-	1	1
1_102239000_+	1	1
1_102286000_-	1	1
1_102313000_+	1	1
1_102314000_-	1	1
1_102318000_-	1	1
1_102329000_-	1	1
1_10233000_-	1	1
1_102355000_+	2	1
1_102360000_+	2	1
1_102394000_-	2	1
1_102398000_+	1	1
1_102436000_+	1	1
1_102440000_-	1	1
1_102441000_-	2	1
1_102447000_-	1	1
1_10245000_+	2	1
1_10246000_-	2	1
1_102467000_-	1	1
1_102472000_-	1	1
1_102478000_-	2	1
1_102485000_-	2	1
1_102486000_+	2	1
1_102565000_-	2	1
1_102571000_+	2	1
1_102576000_-	1	1
1_102579000_+	1	1
1_10260000_+	2	1
1_102629000_-	1	1
1_10263000_-	1	1
1_102654000_+	2	1
1_102675000_-	1	1
1_102719000_+	1	1
1_102728000_+	1	1
1_102762000_-	1	1
1_102788000_+	2	1
1_102821000_+	2	1
1_102833000_+	1	1
1_102854000_+	3	1
1_10287000_+	1	1
1_102900000_+	1	1
1_102925000_+	1	1
1_102928000_-	1	1
1_102942000_-	1	1
1_102978000_+	1	1
1_102988000_+	1	1
1_102995000_-	2	1
1_102998000_-	1	1
1_10304000_-	2	1
1_103068000_+	2	1
1_10307000_+	1	1
1_103086000_+	1	1
1_103087000_+	1	1
1_103093000_-	1	1
1_103103000_+	1	1
1_103113000_-	1	1
1_103122000_-	2	1
1_103142000_-	1	1
1_103144000_-	2	1
1_103150000_-	1	1
1_103157000_+	1	1
1_103162000_+	2	1
1_103178000_+	1	1
1_103179000_+	1	1
1_103190000_-	2	1
1_1032000_+	2	1
1_103204000_-	1	1
1_103212000_-	2	1
1_103231000_-	1	1
1_103233000_+	2	1
1_103240000_-	1	1
1_103259000_-	1	1
1_103266000_+	2	2
1_103279000_+	1	1
1_103304000_-	1	1
1_103316000_+	1	1
1_103319000_+	2	1
1_103345000_-	2	1
1_103354000_+	1	1
1_103355000_+	1	1
1_103360000_+	1	1
1_103363000_-	1	1
1_10337000_-	1	1
1_103381000_-	2	2
1_103389000_+	1	1
1_103399000_+	1	1
1_103405000_-	1	1
1_103410000_-	2	1
1_103429000_-	1	1
1_10343000_-	2	1
1_103442000_+	1	1
1_103443000_+	2	1
1_103459000_-	1	1
1_103471000_-	1	1
1_103474000_-	1	1
1_10348000_+	1	1
1_103487000_-	1	1
1_10350000_-	2	1
1_103518000_-	1	1
1_10357000_+	1	1
1_103572000_+	4	1
1_103660000_+	1	1
1_103673000_-	1	1
1_103673000_+	2	1
1_103674000_-	1	1
1_103688000_-	2	1
1_103695000_-	1	1
1_103707000_-	2	1
1_10372000_-	1	1
1_103739000_+	1	1
1_10395000_+	2	1
1_104016000_-	1	1
1_104037000_+	1	1
1_104058000_+	1	1
1_104066000_-	2	1
1_104077000_+	1	1
1_104082000_-	1	1
1_104085000_+	1	1
1_104113000_+	1	1
1_104130000_-	1	1
1_1042000_-	2	1
1_10426000_+	2	1
1_1043000_-	1	1
1_10431000_+	2	1
1_104319000_+	1	1
1_104344000_+	1	1
1_104345000_-	1	1
1_104374000_+	1	1
1_104378000_+	2	1
1_104387000_-	2	1
1_1044000_-	1	1
1_104411000_+	1	1
1_104414000_+	1	1
1_104431000_-	2	1
1_104490000_-	1	1
1_104491000_+	1	1
1_104493000_-	2	1
1_104514000_+	1	1
1_104544000_-	2	1
1_104551000_-	1	1
1_104551000_+	2	1
1_104555000_+	1	1
1_104576000_-	1	1
1_104591000_-	1	1
1_104592000_-	1	1
1_104611000_-	1	1
1_104614000_+	1	1
1_104619000_+	1	1
1_10464000_-	1	1
1_104647000_+	1	1
1_104664000_-	2	1
1_104683000_-	1	1
1_104688000_-	2	1
1_10469000_+	2	1
1_104705000_-	2	1
1_104733000_-	1	1
1_104749000_+	1	1
1_10479000_-	2	1
1_104790000_-	1	1
1_104822000_+	2	1
1_104823000_-	2	1
1_104829000_+	2	1
1_104863000_-	1	1
1_1049000_+	2	1
1_104903000_-	2	1
1_104923000_+	1	1
1_10494000_+	1	1
1_104960000_+	2	1
1_104978000_-	1	1
1_104990000_+	1	2
1_105000000_+	1	1
1_105003000_+	2	1
1_105013000_-	2	1
1_105042000_-	2	1
1_10505000_-	1	1
1_105055000_+	2	1
1_105074000_-	2	1
1_105077000_+	1	1
1_105080000_-	1	1
1_10509000_+	2	1
1_105094000_-	1	1
1_105103000_-	1	1
1_10516000_-	1	1
1_10516000_+	1	1
1_105166000_-	1	1
1_105196000_-	1	1
1_105213000_+	2	1
1_105219000_-	2	1
1_105230000_+	1	2
1_105234000_+	2	1
1_10524000_+	1	1
1_105272000_-	1	1
1_105294000_-	1	1
1_105306000_-	1	1
1_105328000_+	1	1
1_105330000_-	1	1
1_105349000_-	1	1
1_10536000_-	1	1
1_105372000_-	2	1
1_105398000_-	1	1
1_105402000_+	2	1
1_105416000_+	1	1
1_105431000_+	1	1
1_105446000_-	1	1
1_10547000_-	1	1
1_105491000_+	2	1
1_105506000_+	1	1
1_10551000_-	2	1
1_105541000_-	1	1
1_105548000_+	1	1
1_105558000_-	1	1
1_105591000_-	2	1
1_105595000_+	1	1
1_105615000_-	2	1
1_10564000_-	1	1
1_105645000_+	1	1
1_105657000_-	1	1
1_105658000_-	1	1
1_105673000_-	1	1
1_105674000_-	1	1
1_105683000_+	1	1
1_105695000_+	1	1
1_105697000_-	1	1
1_105709000_-	1	1
1_105718000_-	1	1
1_105731000_-	1	1
1_105807000_+	1	1
1_105836000_+	1	1
1_105871000_+	1	1
1_105885000_+	2	1
1_105905000_+	2	1
1_105911000_+	1	1
1_105925000_+	1	1
1_105936000_+	2	1
1_106004000_+	1	1
1_106028000_+	2	1
1_10604000_+	2	1
1_106042000_+	1	1
1_106065000_-	1	1
1_106089000_-	3	1
1_106090000_-	1	1
1_106100000_-	1	1
1_106103000_-	1	1
1_106134000_-	2	1
1_106143000_-	1	1
1_106220000_-	1	1
1_106223000_+	1	1
1_106270000_+	2	1
1_106271000_+	2	1
1_106283000_+	1	1
1_106321000_-	1	1
1_106335000_+	2	1
1_106355000_+	1	1
1_106376000_+	1	1
1_106378000_+	1	1
1_106398000_-	1	1
1_106412000_+	2	1
1_106426000_+	1	1
1_106452000_-	1	1
1_106455000_-	1	1
1_106462000_-	1	1
1_106512000_+	2	1
1_10652000_-	2	1
1_106520000_-	1	1
1_10655000_+	1	1
1_106580000_-	1	1
1_106588000_-	1	1
1_106599000_+	1	1
1_106601000_-	1	1
1_106654000_-	1	1
1_106664000_-	1	1
1_10667000_+	2	1
1_106672000_+	1	1
1_106678000_+	1	1
1_106685000_+	1	1
1_106700000_+	1	1
1_10672000_-	1	1
1_106733000_-	1	1
1_106758000_-	1	1
1_106770000_-	1	1
1_106776000_-	1	1
1_106812000_+	1	1
1_106813000_-	1	1
1_106833000_+	1	1
1_106869000_+	1	1
1_106883000_+	2	1
1_106888000_+	1	1
1_106889000_-	2	1
1_10689000_+	1	1
1_106891000_+	1	1
1_106928000_+	2	1
1_10697000_-	1	1
1_106983000_+	1	1
1_1070000_-	1	1
1_107029000_-	1	2
1_107032000_-	2	1
1_107041000_-	1	1
1_107052000_+	2	2
1_107054000_-	1	1
1_107060000_-	1	1
1_107066000_-	4	1
1_107079000_+	1	1
1_107088000_-	1	1
1_107090000_-	1	1
1_107097000_+	1	1
1_107108000_+	1	1
1_107116000_-	2	1
1_107128000_+	1	1
1_10713000_-	1	1
1_107147000_+	2	1
1_107148000_-	1	1
1_10715000_-	1	1
1_107172000_-	1	1
1_107180000_+	1	1
1_107191000_+	1	1
1_107200000_+	1	1
1_107229000_-	2	1
1_107262000_+	2	1
1_107263000_-	2	1
1_107274000_+	1	1
1_107277000_+	1	1
1_1073000_-	1	1
1_107331000_-	1	1
1_107342000_+	1	1
1_107376000_-	1	1
1_107382000_-	1	1
1_107417000_-	1	1
1_10745000_-	1	1
1_107476000_-	2	1
1_107486000_+	2	1
1_107504000_-	1	1
1_107530000_-	1	1
1_107568000_-	2	1
1_107569000_+	1	1
1_107580000_+	1	1
1_107594000_-	1	1
1_1076000_-	2	1
1_107602000_-	1	1
1_10762000_+	1	1
1_107625000_+	1	1
1_107669000_-	2	1
